Ref,Val,Package,PosX,PosY,Rot,Side
"D1","RS1M-13-F","SMA_DIO-M",175.300000,-103.500000,90.000000,bottom
"F1","Fuse","D_0402_1005Metric_Pad0.77x0.64mm_HandSolder",155.516558,-97.660546,-90.000000,bottom
"R1","140","RESC1607X60N",173.300000,-108.700000,-90.000000,bottom
"R2","1k","RESC1608X50N",167.500000,-97.600000,0.000000,bottom
"R3","100R","RESC1608X55N",166.700000,-104.300000,90.000000,bottom
"R4","68R","RESC1005X35N",164.300000,-109.600000,180.000000,bottom
"U1","FOD817ASD","SOIC254P1016X385-4N",162.600000,-102.200000,90.000000,bottom
"U2","FMMT634QTA","VREG_XC6206P282MR-G",167.900000,-100.600000,180.000000,bottom
